,report_date,total_purchase_amtsum,total_purchase_amtcount,total_redeem_amtsum,total_redeem_amtcount
0,2014-03-01,362865580.0,8491.0,211279011.0,8491.0
1,2014-03-02,276202230.0,8532.0,246199417.0,8532.0
2,2014-03-03,505305862.0,8595.0,513017360.0,8595.0
3,2014-03-04,524146340.0,8638.0,250562978.0,8638.0
4,2014-03-05,454295491.0,8682.0,209072753.0,8682.0
5,2014-03-06,561787770.0,8748.0,243149884.0,8748.0
6,2014-03-07,380139779.0,8789.0,291087220.0,8789.0
7,2014-03-08,243274169.0,8823.0,140323202.0,8823.0
8,2014-03-09,244752519.0,8858.0,206312503.0,8858.0
9,2014-03-10,497338076.0,8887.0,308040624.0,8887.0
10,2014-03-11,430500816.0,8940.0,496039886.0,8940.0
11,2014-03-12,377007897.0,8990.0,416491268.0,8990.0
12,2014-03-13,346286910.0,9019.0,316973542.0,9019.0
13,2014-03-14,315897431.0,9063.0,311575572.0,9063.0
14,2014-03-15,287407002.0,9092.0,242799048.0,9092.0
15,2014-03-16,269387391.0,9111.0,390584547.0,9111.0
16,2014-03-17,339008082.0,9167.0,440624592.0,9167.0
17,2014-03-18,435479117.0,9178.0,410240726.0,9178.0
18,2014-03-19,359014064.0,9245.0,429298917.0,9245.0
19,2014-03-20,365011495.0,9313.0,336076380.0,9313.0
20,2014-03-21,282351818.0,9341.0,259655286.0,9341.0
21,2014-03-22,191700135.0,9352.0,138039412.0,9352.0
22,2014-03-23,167456369.0,9394.0,186443311.0,9394.0
23,2014-03-24,313180334.0,9469.0,437825259.0,9469.0
24,2014-03-25,314345006.0,9493.0,312710515.0,9493.0
25,2014-03-26,272935544.0,9512.0,450254233.0,9512.0
26,2014-03-27,266231082.0,9553.0,359071642.0,9553.0
27,2014-03-28,225966355.0,9579.0,405443946.0,9579.0
28,2014-03-29,160250985.0,9637.0,155006056.0,9637.0
29,2014-03-30,302209419.5,9706.0,344283722.5,9706.0
30,2014-04-01,453320585.0,9798.0,277429358.0,9798.0
31,2014-04-02,355347118.0,9812.0,272612066.0,9812.0
32,2014-04-03,363877120.0,9873.0,266605457.0,9873.0
33,2014-04-04,251895894.0,9858.0,200192637.0,9858.0
34,2014-04-05,202336542.0,9864.0,163199682.0,9864.0
35,2014-04-06,129477254.0,9885.0,139576683.0,9885.0
36,2014-04-07,196936223.0,9922.0,176966561.0,9922.0
37,2014-04-08,354770149.0,9951.0,250015131.0,9951.0
38,2014-04-09,383347565.0,10001.0,289330278.0,10001.0
39,2014-04-10,386567460.0,10042.0,286914864.0,10042.0
